абсорбуючий      здатний абсорбувати, абсорбційний, абсорбент
абстрагуючий     здатний абстрагувати, абстракційний
авансуючий       авансодавець, згодний авансувати, авансувальний
автоматизуючий   здатний автоматизувати, автоматизаційний, для автоматизації
агітуючий        агітатор, агітаційний, зайнятий агітацією
агонізуючий      агонійний, охоплений агонією, в агонії
адаптуючий       здатний адаптувати, адаптаційний, адаптувальний, т. адаптор
адресуючий       звиклий адресувати, адресант, адресувальний, для адресування
акліматизуючий   здатний акліматизувати, акліматизатор, акліматизаційний, для акліматизації
акомпануючий     акомпаньятор, пригравач, для акомпанування
акредитуючий     призначений акредитувати, акредитаційний, для акредитації
акумулюючий      здатний акумулювати, акумулятор, акумуляційний, для акумуляції
активізуючий     здатний активізувати, активізатор, активізаційний, для активізації
активуючий       здатний активувати, активатор, активаційний, для активації
альтернуючий     навперемінний, наворотливий, наворотний, альтернаційний, здатний чергуватися
аналгезуючий     протибольовий, аналгетичний
аналізуючий      здатний аналізувати, зайнятий аналізою, аналітик, аналітичний
багатообіцяючий  повен надій, перспективний, з великими надіями
бажаючий         охочий, сповнений бажання, розохочений, ласий на що, жадущий, спраглий, спрагнений, голодний чого, охотник, фр. зголошений
бажаючі          хто хоче (бажаючі купити квитки = хто хоче купити квитки)
бігаючий         розбіганий, забіганий, звиклий /радий/ бігати, бігун, непосидющий, (- очі) блудний, т. рухомий, ск.-біжний /н. бистробіжний/ бігаючі очі розбігані очі
блукаючий        мандрівний, бездомний, кочовий, рухливий, на колесах
вважаючий        впевнений, певний, переконаний, готовий /схильний/ вважати
вибухаючий       підриваний, висаджуваний у повітря, вибуховий, вибухущий
вигасаючий       покинутий згасати, приречений згаснути, загасущий, вигасущий
видужуючий       майже здоровий, підлікований, відхворілий, вже-на-ногах, близький до здоров'я, напівздоровий, майже видужалий
викликаючий      здатний викликати, призвідець, спричинник, (тон) зухвалий, задирливий, загонистий, провокативний, кн. визивний
випереджаючий    здатний випередити, звиклий випереджати, для випередження, випереджальний
виплигуючий      здатний виплигнути, ставши виплигувати, стрибун 
висміваючий      д! висміюючий
висміюючий       радий /готовий/ висміяти, вдатний на кпини, висмівака, глузій, оса, ґедзь, глузливий, насміхастий
виснажуючий      здатний виснажити, виснажувач, виснажливий
витвережуючий    здатний витверезити, для витвереження, витверезливий, витверезущий
вичікуючий       звиклий /ставши/ вичікувати, вичікувальний, ст. вичікуючи
вібруючий        схильний /ставши/ вібрувати, вібратор, вібраторний, вібраційний, ск. вібро- /н. віброкристал/
вмираючий        покинутий вмирати, приречений вмерти, майже мрець, агонійний, вмирущий, мрущий, напівмертвий, присмертний, смертний, вже на Божій дорозі, вже на відході, вже одною ногою в могилі
волаючий         звиклий /ставши/ волати, змушений заволати, крикун, крикливий
воюючий          втягнутий у війну, обтяжений війною, змушений воювати, борець проти кого, воїн, войовничий, протиборчий, (народ) нескорений, о. у борні, у стані війни
ворогуючий       розсварений, розбратаний, протиборчий, звиклий ворогувати, ворог, ворожий, неприязний, супротивний, о. на ножах з ким
вражаючий        разючий, здатний вразити, вразливий, (образ) могутній, сильний
всеобіймаючий    всеосяжний, універсальний, всебічний, поголовний, панорамний, всеохопний, всеобіймущий, (осяг) глибинний
всеохоплюючий    д! всеобіймаючий
всеперемагаючий  всепереможний, звитяжний, здатний здолати все
всепоглинаючий,  здатний поглинути все, всепожирущий, всепоглинущий
газоутворюючий   газотвірний, газотвір, здатний творити газ
гинучий          запропащуваний, приречений на смерть, напівзниклий, напіввимерлий, пропащий, зникомий, о. на грані загибелі, в лапах смерти, близький до загибелі, смертник, п! вмираючий
граючий          зайнятий грою, звиклий грати, гравець, гральний, -грай (н. картограй)
гукаючий         звиклий кричати, змушений закричати, крикун, зіпака, горлань, верещака, гримайло, крикливий, галасливий, верескливий
даючий           покликаний дати, звиклий давати, давець, давальник, щедрий, жертовний, давущий, давальний, -давчий (н. позикодавчий)
дезамінуючий     дезамінаторний, здатний дезамінувати, дезамінатор
державнодумаючий державно орієнтований, відданий державі, державницький, здатний державно мислити, з державним мисленням
дестабілізуючий  дестабілізаційний, дестабілізатор, п! збаламучуючий
деформуючий      здатний деформувати, деформатор, деформаційний
дислокуючий      покликаний /здатний/ розмістити, зайнятий дислокацією, дислокаційний, для дислокації
диференціюючий   здатний диференціювати, розчленовувач, диференціятор, диференціювальний, розчленовувальний
діючий           покликаний /згодний, готовий, звиклий/ діяти, діяльний, активний, ефективний, чинний, дійовий, робочий, ходовий, в дії, в роботі, в ходу, ск. -дійний (н. рівнодійний) постійно діюча комісія             постійна комісія
догоряючий       залишений догоряти, напівзгорілий, майже згорілий, напівзгаслий, майже згаслий,
домінуючий       найпоширеніший, найпопулярніший, здатний домінувати, панівний, більший числом, завжди в більшості
доростаючий      здатний дорости, залишений доростати, напівдорослий, щораз вищий /більший, гінкіший/, доходжалий
дрімаючий        радий задрімати, звиклий дрімати, дрімаха, дрімайло, дрімотний, дрімливий, сонливий, напівсонний, приспаний, дрімучий, бездіяльний, (- хворобу) притаєний
екстрагуючий     здатний екстрагувати, екстрагент, екстрагувальний, витяжний, екстрагуюча речовина               екстрагент
життєстверджуючий             сповнений життя, оптимістичний, сонцелюбний, динамічний, кн. життєствердний,
жуючий           звиклий жувати, здатний розжувати, зайнятий жуванням, жувака, жуйний
загибаючий       д! гинучий
заглушуючий      покликаний /здатний/ заглушити, звиклий глушити, глушник, глушильний, заглушливий, тамувальний
загниваючий      загниваний, загнивущий, пойнятий гниттям, напівзогнилий
закипаючий       готовий закипіти, напівзакипілий, майже закипілий, булькітливий, булькотючий, (гнів) щораз дужчий, (- море) забурунілий, щораз бурхливіший, п! нуртуючий
закликаючий      звиклий закликати, закликач, закличний, зазивний, закликущий, із закликом
закріплюючий     здатний /призначений/ закріпити, закріплювач, закріпний, закріплювальний, закріпливий, для закріплення
заломлюючий      здатний заломити, звиклий заломлювати, заломлювач, ламальний, ломильний, заломлювальний, для заломлення, заломлююча сила ока           сила заломлення в оці
залягаючий       залеглий, простертий, заляганий, (- руди) підземний
занепокоюючий    здатний занепокоїти, неспокійний, тривожний, докучливий, дошкульний
запам'ятовуючий  здатний /радий, готовий/ запам'ятати, пам'яткий, пам'ятливий, пам'ятущий, (прилад) запам'ятовчий
запевняючий      радий /готовий/ запевнити, схильний запевняти, запевнювач, запевнювальний, переконливий
заперечуючий     схильний /готовий/ заперечувати, суперечник, заперечливий, заперечний, для заперечення
засинаючий       пойманий сном, ставши засинати, напівсонний, напівзаснулий
застигаючий      здатний затужавіти, щораз тужавіший, напівзастиглий, напівзатужавілий, (- тіло) напівзахололий
застрашуючий     здатний /покликаний/ застрашити, звиклий застрашувати, страхопуд, страшило, застрашливий
